Version,File_Name,LOC,LOC_touched,NR,NAuth,LOC_added,MAX_LOC_added,AVG_LOC_added,Churn,MAX_Churn,AVG_Churn,ChgSetSize,MAX_ChgSet,AVG_ChgSet,Bugginess
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/AbstractZkLedgerManager.java,260,42,4,3,36,23,9.00,30,23,7.50,36,25,9.00,No
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/FlatLedgerManager.java,158,42,2,2,12,7,6.00,-18,3,-9.00,11,6,5.50,Yes
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java,469,65,4,2,29,15,7.25,-7,6,-1.75,14,6,3.50,Yes
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerLayout.java,179,5,1,1,5,5,5.00,5,5,5.00,25,25,25.00,No
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManager.java,133,7,1,1,5,5,5.00,3,3,3.00,5,5,5.00,No
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManagerFactory.java,91,2,1,1,1,1,1.00,0,0,0,25,25,25.00,No
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/SnapshotMap.java,121,132,1,1,132,132,132.00,132,132,132.00,6,6,6.00,Yes
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BKStats.java,208,236,1,1,236,236,236.00,236,236,236.00,13,13,13.00,Yes
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieClient.java,198,52,3,2,49,26,16.33,46,26,15.33,19,14,6.33,Yes
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieProtocol.java,152,22,3,2,20,10,6.67,18,8,6.00,35,15,11.67,Yes
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java,451,192,9,2,153,61,17.00,114,59,12.67,99,25,11.00,Yes
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServerBean.java,75,90,1,1,90,90,90.00,90,90,90.00,13,13,13.00,No
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServerMXBean.java,48,58,1,1,58,58,58.00,58,58,58.00,13,13,13.00,No
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookkeeperInternalCallbacks.java,114,0,0,0,0,0,0,0,0,0,0,0,0,Yes
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java,467,22,4,1,9,5,2.25,-4,0,-1.00,46,25,11.50,Yes
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java,592,295,10,3,193,48,19.30,91,43,9.10,71,25,7.10,Yes
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/ServerStats.java,121,0,0,0,0,0,0,0,0,0,0,0,0,Yes
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerInputStream.java,164,0,0,0,0,0,0,0,0,0,0,0,0,Yes
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerOutputStream.java,137,0,0,0,0,0,0,0,0,0,0,0,0,Yes
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java,83,4,1,1,2,2,2.00,0,0,0,25,25,25.00,Yes
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/HardLink.java,648,667,2,1,666,665,333.00,665,665,332.50,27,25,13.50,No
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/IOUtils.java,50,55,1,1,55,55,55.00,55,55,55.00,7,7,7.00,No
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java,227,158,5,2,109,33,21.80,60,19,12.00,48,25,9.60,Yes
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/Main.java,47,0,0,0,0,0,0,0,0,0,0,0,0,Yes
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/MathUtils.java,30,0,0,0,0,0,0,0,0,0,0,0,0,Yes
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java,83,0,0,0,0,0,0,0,0,0,0,0,0,Yes
