Version,File_Name,LOC,LOC_touched,NR,NAuth,LOC_added,MAX_LOC_added,AVG_LOC_added,Churn,MAX_Churn,AVG_Churn,ChgSetSize,MAX_ChgSet,AVG_ChgSet,Bugginess
1,tajo-common/src/main/java/org/apache/tajo/common/ProtoObject.java,22,27,2,1,26,26,13.00,25,26,12.50,1244,1118,622.00,No
1,tajo-common/src/main/java/org/apache/tajo/common/Sleeper.java,38,42,1,1,42,42,42.00,42,42,42.00,1118,1118,1118.00,No
1,tajo-common/src/main/java/org/apache/tajo/common/exception/InvalidAddressException.java,21,25,1,1,25,25,25.00,25,25,25.00,1118,1118,1118.00,Yes
1,tajo-common/src/main/java/org/apache/tajo/common/exception/NotImplementedException.java,42,49,1,1,49,49,49.00,49,49,49.00,1118,1118,1118.00,No
1,tajo-common/src/main/java/org/apache/tajo/common/type/IPv4.java,173,181,1,1,181,181,181.00,181,181,181.00,1118,1118,1118.00,No
1,tajo-common/src/main/java/org/apache/tajo/common/type/TimeRange.java,75,80,1,1,80,80,80.00,80,80,80.00,1118,1118,1118.00,No
1,tajo-common/src/main/java/org/apache/tajo/conf/TajoConf.java,376,679,17,4,568,351,33.41,457,351,26.88,1531,1118,90.06,Yes
1,tajo-common/src/main/java/org/apache/tajo/datum/BitDatum.java,119,145,3,2,140,134,46.67,135,134,45.00,1275,1118,425.00,Yes
1,tajo-common/src/main/java/org/apache/tajo/datum/BlobDatum.java,140,169,2,1,163,163,81.50,157,163,78.50,1244,1118,622.00,Yes
1,tajo-common/src/main/java/org/apache/tajo/datum/BooleanDatum.java,152,189,6,2,181,173,30.17,173,173,28.83,1301,1118,216.83,Yes
1,tajo-common/src/main/java/org/apache/tajo/datum/CharDatum.java,137,256,4,2,210,141,52.50,164,141,41.00,1283,1118,320.75,Yes
1,tajo-common/src/main/java/org/apache/tajo/datum/Datum.java,148,176,3,2,171,158,57.00,166,158,55.33,1275,1118,425.00,Yes
1,tajo-common/src/main/java/org/apache/tajo/datum/DatumFactory.java,175,249,10,3,217,130,21.70,185,130,18.50,1422,1118,142.20,Yes
1,tajo-common/src/main/java/org/apache/tajo/datum/Float4Datum.java,278,390,5,2,349,279,69.80,308,279,61.60,1319,1118,263.80,Yes
1,tajo-common/src/main/java/org/apache/tajo/datum/Float8Datum.java,281,354,5,2,330,271,66.00,306,271,61.20,1319,1118,263.80,Yes
1,tajo-common/src/main/java/org/apache/tajo/datum/Inet4Datum.java,120,144,2,1,138,138,69.00,132,138,66.00,1244,1118,622.00,Yes
1,tajo-common/src/main/java/org/apache/tajo/datum/Int2Datum.java,275,353,5,2,329,269,65.80,305,269,61.00,1319,1118,263.80,Yes
1,tajo-common/src/main/java/org/apache/tajo/datum/Int4Datum.java,278,353,5,2,328,274,65.60,303,274,60.60,1319,1118,263.80,Yes
1,tajo-common/src/main/java/org/apache/tajo/datum/Int8Datum.java,283,370,6,2,340,280,56.67,310,280,51.67,1397,1118,232.83,Yes
1,tajo-common/src/main/java/org/apache/tajo/datum/NullDatum.java,88,197,8,2,152,109,19.00,107,109,13.38,1404,1118,175.50,Yes
1,tajo-common/src/main/java/org/apache/tajo/datum/NumericDatum.java,29,57,2,2,45,39,22.50,33,39,16.50,1149,1118,574.50,No
1,tajo-common/src/main/java/org/apache/tajo/datum/ProtobufDatum.java,69,81,1,1,81,81,81.00,81,81,81.00,78,78,78.00,No
1,tajo-common/src/main/java/org/apache/tajo/datum/ProtobufDatumFactory.java,79,91,1,1,91,91,91.00,91,91,91.00,78,78,78.00,No
1,tajo-common/src/main/java/org/apache/tajo/datum/TextDatum.java,128,190,4,2,172,146,43.00,154,146,38.50,1298,1118,324.50,Yes
1,tajo-common/src/main/java/org/apache/tajo/datum/exception/InvalidCastException.java,29,33,1,1,33,33,33.00,33,33,33.00,1118,1118,1118.00,No
1,tajo-common/src/main/java/org/apache/tajo/datum/exception/InvalidOperationException.java,37,42,1,1,42,42,42.00,42,42,42.00,1118,1118,1118.00,Yes
1,tajo-common/src/main/java/org/apache/tajo/datum/protobuf/AbstractCharBasedFormatter.java,69,80,1,1,80,80,80.00,80,80,80.00,78,78,78.00,No
1,tajo-common/src/main/java/org/apache/tajo/datum/protobuf/ProtobufFormatter.java,155,168,1,1,168,168,168.00,168,168,168.00,78,78,78.00,No
1,tajo-common/src/main/java/org/apache/tajo/datum/protobuf/ProtobufJsonFormat.java,1463,1463,1,1,1463,1463,1463.00,1463,1463,1463.00,78,78,78.00,No
1,tajo-common/src/main/java/org/apache/tajo/datum/protobuf/TextUtils.java,431,459,1,1,459,459,459.00,459,459,459.00,78,78,78.00,No
1,tajo-common/src/main/java/org/apache/tajo/exception/InternalException.java,39,43,1,1,43,43,43.00,43,43,43.00,1118,1118,1118.00,No
1,tajo-common/src/main/java/org/apache/tajo/exception/UnimplementedException.java,32,38,1,1,38,38,38.00,38,38,38.00,1118,1118,1118.00,Yes
1,tajo-common/src/main/java/org/apache/tajo/exception/UnsupportedException.java,32,38,1,1,38,38,38.00,38,38,38.00,1118,1118,1118.00,No
1,tajo-common/src/main/java/org/apache/tajo/json/ClassNameDeserializer.java,38,46,2,1,45,44,22.50,44,44,22.00,1244,1118,622.00,Yes
1,tajo-common/src/main/java/org/apache/tajo/json/ClassNameSerializer.java,40,58,2,1,52,39,26.00,46,39,23.00,1244,1118,622.00,Yes
